cuvette,Treatment,Replicate,Origin,bottle #,S0,S1,S2,S3,S4
i2,wcc,,,blank,0.6315,0.742,0.553,1.7855,1.1125
,Add,1,C,26,176.75,150.6,144.65,144.55,150.85
,Add,2,D,5,229.85,207.15,195.45,192.95,194.75
,Add,3,E,3,218.15,197.8,185.45,192.6,199.5
,Add,4,D,6,224.55,202.35,195.7,191.55,191.4
,Add,5,E,17,220.05,204.9,176.5,188.5,191.9
,Add,6,C,16,174.6,152.75,143.4,149.75,148
,Add,7,E,14,218.5,191.3,183,192.25,197.3
,Add,8,C,18,175.25,154.45,141.05,140.95,149.1
,Add,9,D,7,229.15,202.5,193.15,196.95,194.2
i5,wcc,,,,1.994,0.813,0.9865,0.762,1.9405
,Di,1,C,9,136.35,119.45,111.1,118.85,130.2
,Di,2,D,13,181.1,165.5,156.75,157.55,164.35
,Di,3,E,21,175.2,153.45,140.6,154.8,158.55
,Di,4,D,1,179.15,159,152.7,159.25,165.3
,Di,5,E,10,172.95,151.75,81.615,153.2,160.15
,Di,6,C,8,140.3,117.15,110.05,118.05,120.8
,Di,7,E,2,172.55,149.95,145.3,154.3,153.75
,Di,8,C,20,135.8,118.55,114.35,118.15,135.4
,Di,9,D,22,180.55,162.6,152.25,166.15,163.85
I9,wcc,,,blank,0.8015,1.0675,0.853,0.9035,0.6445
,Con,1,C,24,169.6,153,139.95,140.4,139.7
,Con,2,D,11,228.2,204.7,186.95,188.85,186.3
,Con,3,E,25,219.4,204.75,186.7,190.9,187.15
,Con,4,D,12,225.75,208.05,185.8,188.95,190.35
,Con,5,E,4,216.2,196.3,181.1,184.5,182.9
,Con,6,C,19,170.3,151.6,138.05,136.7,141.2
,Con,7,E,15,218.05,193.85,182.2,189.45,185.55
,Con,8,C,23,169.35,154.7,143.05,140.2,143.25
,Con,9,D,27,230.25,205.8,193.3,194.9,194.5
